rsq,set_name,column,is_baseline,spearman_abs_rho,permutation_r2_drop,ablation_r2_drop,average_rank
RSQ2,nested_set5_all_ungated_vif,eastness,False,0.07102141344683391,0.010323385178439892,0.13215750479342125,12.0
RSQ2,nested_set5_all_ungated_vif,profile_curvature,False,0.014744472115627356,0.0020160953527228465,0.04275356137808661,23.0
RSQ2,nested_set5_all_ungated_vif,plan_curvature,False,0.002322683364858169,0.001718876520520607,0.06614904004474453,22.0
RSQ2,nested_set5_all_ungated_vif,tpi_500m,False,0.07033059857314769,-0.0020621781306701115,0.015553180715223158,24.0
RSQ2,nested_set5_all_ungated_vif,local_relief_500m,False,0.1538429904519318,0.02688806449377723,0.05079868918960262,11.666666666666666
RSQ2,nested_set5_all_ungated_vif,frost_hollow_flag,False,0.0249920025086325,0.0002156262112970042,0.025307417819013023,24.666666666666668
RSQ2,nested_set5_all_ungated_vif,windward_topex,False,0.07030535852050503,0.017836117384012584,-0.03236571386908471,20.666666666666668
RSQ2,nested_set5_all_ungated_vif,gwa_weibull_a_10m,False,0.20320309666902933,0.013670156431671798,0.11724562076424982,9.333333333333334
RSQ2,nested_set5_all_ungated_vif,gwa_weibull_k_10m,False,0.025707383147882956,0.0030013205792895903,-0.03238129219702435,27.0
RSQ2,nested_set5_all_ungated_vif,gwa_weibull_a_50m,False,0.3431453487245717,0.008325268425901755,0.016290749368265245,13.0
RSQ2,nested_set5_all_ungated_vif,gwa_weibull_k_50m,False,0.2636651936076674,0.020188256791221826,0.15269290942200342,6.333333333333333
RSQ2,nested_set5_all_ungated_vif,dist_to_forest_perimeter,False,0.07693471023293806,-0.0030798411063094333,-0.011609654295077432,26.0
RSQ2,nested_set5_all_ungated_vif,dist_to_block_boundary,False,0.05487769217255867,0.003287359476225049,0.06554580261529674,18.666666666666668
RSQ2,nested_set5_all_ungated_vif,cpmt_compactness_ratio,False,0.06996133879073094,0.005251423707465119,-0.0006749386036950522,22.666666666666668
RSQ2,nested_set5_all_ungated_vif,dist_to_road,False,0.3768910817869271,0.03237533798099568,-0.025138632573031394,12.333333333333334
RSQ2,nested_set5_all_ungated_vif,dist_to_watercourse,False,0.08969148156403403,-0.00536356576734931,0.028996533719052642,21.666666666666668
RSQ2,nested_set5_all_ungated_vif,gwa_wind_speed_10m,False,0.20603431212086268,0.0054011103517362935,0.023000615841219707,15.666666666666666
RSQ2,nested_set5_all_ungated_vif,soilgrids_ph,False,0.27088996238950896,0.0004151626878813319,0.05556394063627734,16.0
RSQ2,nested_set5_all_ungated_vif,ceh_twi,False,0.10303569845435735,0.0008766696114080874,0.21252609702466152,13.666666666666666
RSQ2,nested_set5_all_ungated_vif,tas_mean,False,0.27327777981907453,0.01448529552650435,0.013623421125243174,13.333333333333334
RSQ2,nested_set5_all_ungated_vif,groundfrost_mean,False,0.1719290268058971,-4.5959043609600236e-05,-0.03566908554314652,24.666666666666668
RSQ2,nested_set5_all_ungated_vif,whcl,False,0.25366343052359974,0.008004202059011312,0.017801080774812683,14.666666666666666
RSQ3,nested_set1_baseline,CanopyCover,True,,,,
RSQ3,nested_set1_baseline,time_since_thinning,True,,,,
RSQ3,nested_set1_baseline,time_since_thinning_missing,True,,,,
RSQ3,nested_set1_baseline,recent_thinning_5yr,True,,,,
RSQ3,nested_set2_top5,CanopyCover,True,,,,
RSQ3,nested_set2_top5,time_since_thinning,True,,,,
RSQ3,nested_set2_top5,time_since_thinning_missing,True,,,,
RSQ3,nested_set2_top5,recent_thinning_5yr,True,,,,
RSQ3,nested_set2_top5,windward_topex,False,0.15563456203133938,0.026553804140777015,-0.003949936043077695,9.333333333333334
RSQ3,nested_set2_top5,elevation,False,0.16990345398710582,0.05223420946877033,-0.026087384501496835,11.0
RSQ3,nested_set2_top5,cpmt_compactness_ratio,False,0.054873164799713554,0.035489038954965135,0.0012240100943451404,11.0
RSQ3,nested_set2_top5,dist_to_road,False,0.15573094351760117,0.016031466503290792,-0.023760334602415,12.666666666666666
RSQ3,nested_set2_top5,profile_curvature,False,0.02940130813410094,0.01483690948985339,0.009664348710826443,13.0
RSQ3,nested_set3_gated_terrain_wind,CanopyCover,True,,,,
RSQ3,nested_set3_gated_terrain_wind,time_since_thinning,True,,,,
RSQ3,nested_set3_gated_terrain_wind,time_since_thinning_missing,True,,,,
RSQ3,nested_set3_gated_terrain_wind,recent_thinning_5yr,True,,,,
RSQ3,nested_set3_gated_terrain_wind,windward_topex,False,0.15563456203133938,0.026553804140777015,-0.003949936043077695,9.333333333333334
RSQ3,nested_set3_gated_terrain_wind,elevation,False,0.16990345398710582,0.05223420946877033,-0.026087384501496835,11.0
RSQ3,nested_set3_gated_terrain_wind,profile_curvature,False,0.02940130813410094,0.01483690948985339,0.009664348710826443,13.0
RSQ3,nested_set3_gated_terrain_wind,solar_radiation_index,False,0.03318992423418169,0.008060109499474555,0.01648707961507767,13.666666666666666
RSQ3,nested_set3_gated_terrain_wind,slope_degrees,False,0.10104596613519934,0.06662553860161258,-0.029369391626079877,14.0
RSQ3,nested_set3_gated_terrain_wind,elevation_roughness,False,0.05840940153205425,0.01633452695558668,-0.009219586152668047,14.666666666666666
RSQ3,nested_set3_gated_terrain_wind,ceh_twi,False,0.034193891064829965,0.013026478153524979,0.0018546310870526383,14.666666666666666
RSQ3,nested_set3_gated_terrain_wind,topex,False,0.12021959366102573,0.0034709204423245543,-0.013876525293671449,16.333333333333332
RSQ3,nested_set3_gated_terrain_wind,tpi_500m,False,0.09604371422839247,0.04097976668799341,-0.03644892161485003,16.666666666666668
RSQ3,nested_set4_gated_all,CanopyCover,True,,,,
RSQ3,nested_set4_gated_all,time_since_thinning,True,,,,
RSQ3,nested_set4_gated_all,time_since_thinning_missing,True,,,,
RSQ3,nested_set4_gated_all,recent_thinning_5yr,True,,,,
RSQ3,nested_set4_gated_all,windward_topex,False,0.15563456203133938,0.026553804140777015,-0.003949936043077695,9.333333333333334
RSQ3,nested_set4_gated_all,elevation,False,0.16990345398710582,0.05223420946877033,-0.026087384501496835,11.0
RSQ3,nested_set4_gated_all,profile_curvature,False,0.02940130813410094,0.01483690948985339,0.009664348710826443,13.0
RSQ3,nested_set4_gated_all,solar_radiation_index,False,0.03318992423418169,0.008060109499474555,0.01648707961507767,13.666666666666666
RSQ3,nested_set4_gated_all,slope_degrees,False,0.10104596613519934,0.06662553860161258,-0.029369391626079877,14.0
RSQ3,nested_set4_gated_all,elevation_roughness,False,0.05840940153205425,0.01633452695558668,-0.009219586152668047,14.666666666666666
RSQ3,nested_set4_gated_all,ceh_twi,False,0.034193891064829965,0.013026478153524979,0.0018546310870526383,14.666666666666666
RSQ3,nested_set4_gated_all,topex,False,0.12021959366102573,0.0034709204423245543,-0.013876525293671449,16.333333333333332
RSQ3,nested_set4_gated_all,tpi_500m,False,0.09604371422839247,0.04097976668799341,-0.03644892161485003,16.666666666666668
RSQ3,nested_set4_gated_all,cpmt_compactness_ratio,False,0.054873164799713554,0.035489038954965135,0.0012240100943451404,11.0
RSQ3,nested_set4_gated_all,dist_to_road,False,0.15573094351760117,0.016031466503290792,-0.023760334602415,12.666666666666666
RSQ3,nested_set4_gated_all,tas_mean,False,0.12787268202530724,0.012260917964154405,-0.014210449704541439,14.666666666666666
RSQ3,nested_set4_gated_all,ceh_textural_composition=5.0,False,0.0853650499249715,0.0035446476963590934,-0.005594287982227275,16.0
RSQ3,nested_set4_gated_all,chelsa_bio12_precip_mm,False,0.13460919520150247,0.06465711799668239,-0.08093647896714473,16.666666666666668
RSQ3,nested_set4_gated_all,ceh_pedotope=8.0,False,0.03569208993867587,0.0,0.004819823791292865,18.5
RSQ3,nested_set4_gated_all,ceh_subsurface_drainage=1.0,False,0.026115424296499826,5.5857692517036206e-05,0.008682741416859652,18.666666666666668
RSQ3,nested_set4_gated_all,ceh_textural_composition=1.0,False,0.032227921309321624,0.0,0.00613180529918278,19.166666666666668
RSQ3,nested_set4_gated_all,ceh_subsurface_drainage=2.0,False,0.06004423689793861,-0.0021312958573671548,0.0037100478033404993,19.666666666666668
RSQ3,nested_set4_gated_all,chelsa_gdd5_degc,False,0.1286670034645754,-0.0014901358576754342,-0.005732304985056835,19.666666666666668
RSQ3,nested_set4_gated_all,soilgrids_ph,False,0.1708436576468024,-0.0004742613569066467,-0.032632064726893506,21.333333333333332
RSQ3,nested_set4_gated_all,ceh_textural_composition=2.0,False,0.028610108137913343,0.0,0.0,22.0
RSQ3,nested_set5_all_ungated,CanopyCover,True,,,,
RSQ3,nested_set5_all_ungated,time_since_thinning,True,,,,
RSQ3,nested_set5_all_ungated,time_since_thinning_missing,True,,,,
RSQ3,nested_set5_all_ungated,recent_thinning_5yr,True,,,,
RSQ3,nested_set5_all_ungated,elevation,False,0.16990345398710582,0.05223420946877033,-0.026087384501496835,11.0
RSQ3,nested_set5_all_ungated,slope_degrees,False,0.10104596613519934,0.06662553860161258,-0.029369391626079877,14.0
RSQ3,nested_set5_all_ungated,northness,False,0.004943316128374247,-0.004317362456952245,-0.00840420698612776,31.666666666666668
RSQ3,nested_set5_all_ungated,eastness,False,0.1100360503149182,0.02878731473175833,-0.045178569688751224,17.666666666666668
RSQ3,nested_set5_all_ungated,profile_curvature,False,0.02940130813410094,0.01483690948985339,0.009664348710826443,13.0
